subject,task,avr,top_two
23,4,2,1
23,4,1.66666666666667,0
23,4,1.66666666666667,0
23,4,1.33333333333333,0
23,4,2,1
24,1,1,0
24,1,1,0
24,1,1,0
24,1,1,0
24,1,1.66666666666667,0
24,1,1,0
24,1,1,1
24,1,1.33333333333333,0
24,1,1.33333333333333,1
24,4,1,0
24,4,1.33333333333333,0
24,4,1,0
24,4,1.33333333333333,0
24,4,1.66666666666667,0
24,4,1.66666666666667,1
24,4,2.33333333333333,1
24,4,1,0
24,4,1.66666666666667,0
25,1,1,1
25,1,1,0
25,1,1.66666666666667,0
25,1,2,1
25,4,1.66666666666667,1
25,4,1,0
25,4,1.33333333333333,0
25,4,1.33333333333333,0
25,4,2,1
25,4,2,0
25,4,1.33333333333333,0
25,4,1.66666666666667,0
26,1,1.33333333333333,0
26,1,1.66666666666667,1
26,1,2,1
26,4,2,1
26,4,4.66666666666667,0
26,4,1.66666666666667,1
27,1,1,0
27,1,2,1
27,1,1.66666666666667,1
27,4,2,0
27,4,2,1
27,4,1.66666666666667,0
27,4,1,0
27,4,2,1
27,4,2,0
27,4,1.66666666666667,0
27,4,1,0
27,4,2,0
28,1,2.66666666666667,0
28,1,1,0
28,1,1.66666666666667,0
28,1,1.66666666666667,0
28,1,1.66666666666667,0
28,1,1.66666666666667,1
28,1,1.66666666666667,0
28,1,1.66666666666667,0
28,1,2.66666666666667,1
28,1,2,0
28,1,2,0
28,1,1.66666666666667,0
28,4,2,0
28,4,1.66666666666667,0
28,4,2.33333333333333,0
28,4,1.66666666666667,0
28,4,2.66666666666667,0
28,4,2.66666666666667,0
28,4,2.66666666666667,1
28,4,3,0
28,4,2.66666666666667,0
28,4,3,1
28,4,1.66666666666667,0
28,4,1.66666666666667,0
29,1,1.66666666666667,0
29,1,1.33333333333333,0
29,1,1.66666666666667,0
29,1,1.66666666666667,0
29,1,2.66666666666667,1
29,1,2,1
29,1,1.66666666666667,0
29,4,1.66666666666667,0
29,4,1.33333333333333,0
29,4,1.33333333333333,0
29,4,3,1
29,4,2.33333333333333,0
29,4,1.33333333333333,0
29,4,2,0
29,4,2,0
29,4,2.33333333333333,1
30,1,1,0
30,1,1.33333333333333,0
30,1,1.33333333333333,1
30,1,1.33333333333333,0
30,1,1.66666666666667,1
30,1,1,0
30,1,2.33333333333333,0
30,4,1.33333333333333,0
30,4,2,1
30,4,1.33333333333333,0
30,4,1.66666666666667,0
30,4,1.33333333333333,0
30,4,1,0
30,4,1.66666666666667,1
31,1,1,0
31,1,1.33333333333333,0
31,1,1.33333333333333,1
31,1,1.66666666666667,1
31,1,2.66666666666667,0
31,1,1.66666666666667,0
31,4,1.33333333333333,1
31,4,1.66666666666667,0
31,4,3,0
31,4,1.66666666666667,0
31,4,2.33333333333333,1
32,1,1.33333333333333,1
32,1,1.66666666666667,0
32,1,1.33333333333333,0
32,1,1.66666666666667,0
32,1,2.33333333333333,1
32,1,2.33333333333333,0
32,1,2.33333333333333,0
32,1,2,0
32,1,2.33333333333333,0
32,4,1.33333333333333,0
32,4,1.66666666666667,1
32,4,1.66666666666667,0
32,4,2,0
32,4,2,0
32,4,3,0
32,4,2,0
32,4,1.33333333333333,0
32,4,2.33333333333333,0
32,4,2,1
33,1,3,0
33,1,2,0
33,1,1,0
33,1,1.33333333333333,0
33,1,1,1
33,1,2.33333333333333,0
33,1,1.33333333333333,0
33,1,2,1
33,1,1.66666666666667,0
33,1,1.66666666666667,0
33,4,1,0
33,4,1.66666666666667,0
33,4,2,1
33,4,1.33333333333333,0
33,4,2,0
33,4,2.33333333333333,0
33,4,1,1
33,4,2,0
35,1,1.66666666666667,0
35,1,1.33333333333333,1
35,1,1.66666666666667,0
35,1,1.66666666666667,1
35,1,2,0
35,4,2.33333333333333,0
35,4,3.33333333333333,1
35,4,3.33333333333333,1
36,1,2.66666666666667,0
36,1,1.66666666666667,0
36,1,2,1
36,1,2,0
36,1,1,0
36,1,2,0
36,1,2,1
36,1,1.33333333333333,0
36,1,3.33333333333333,0
36,4,1.66666666666667,0
36,4,2,1
36,4,2.66666666666667,1
36,4,2,0
36,4,3,0
36,4,2.33333333333333,0
36,4,2.33333333333333,0
37,1,1,0
37,1,2,1
37,1,2.33333333333333,1
37,1,2.33333333333333,0
37,1,2,0
37,1,2.33333333333333,0
37,1,2,0
37,4,1,0
37,4,1.33333333333333,0
37,4,1.66666666666667,0
